municipio,codigo_dane,fecha_año,cantidad,dpnom,pob,tasa_homicidios
ABEJORRAL,5002,2010,4.0,Antioquia,21822,18.330125561360095
ABEJORRAL,5002,2011,3.0,Antioquia,21619,13.876682547758916
ABEJORRAL,5002,2012,8.0,Antioquia,21371,37.43390576014225
ABEJORRAL,5002,2013,6.0,Antioquia,21166,28.347349522819613
ABEJORRAL,5002,2014,4.0,Antioquia,20942,19.100372457262917
ABEJORRAL,5002,2015,5.0,Antioquia,20718,24.133603629693987
ABEJORRAL,5002,2016,7.0,Antioquia,20534,34.08980227914678
ABEJORRAL,5002,2017,2.0,Antioquia,20437,9.78617213876792
ABEJORRAL,5002,2018,5.0,Antioquia,20367,24.54951637452742
ABEJORRAL,5002,2019,4.0,Antioquia,20258,19.745285813012146
ABEJORRAL,5002,2020,5.0,Antioquia,20287,24.646325232907778
ABEJORRAL,5002,2021,2.0,Antioquia,20602,9.707795359673819
ABREGO,54003,2010,8.0,Norte de Santander,29921,26.7370742956452
ABREGO,54003,2011,3.0,Norte de Santander,30053,9.982364489402055
ABREGO,54003,2012,6.0,Norte de Santander,30160,19.893899204244033
ABREGO,54003,2013,13.0,Norte de Santander,30253,42.970945030244934
ABREGO,54003,2014,6.0,Norte de Santander,30281,19.8144050724877
ABREGO,54003,2015,2.0,Norte de Santander,30358,6.588049278608604
ABREGO,54003,2016,11.0,Norte de Santander,30553,36.003011160933454
ABREGO,54003,2017,4.0,Norte de Santander,30923,12.93535556058597
ABREGO,54003,2018,9.0,Norte de Santander,31786,28.314352230541747
ABREGO,54003,2019,16.0,Norte de Santander,33003,48.480441172014665
ABREGO,54003,2020,14.0,Norte de Santander,33931,41.26020453272818
ABREGO,54003,2021,18.0,Norte de Santander,34395,52.33318796336677
ABRIAQUÍ,5004,2017,1.0,Antioquia,2652,37.70739064856712
ACACÍAS,50006,2010,30.0,Meta,73370,40.88864658579801
ACACÍAS,50006,2011,31.0,Meta,75305,41.165925237368036
ACACÍAS,50006,2012,23.0,Meta,77187,29.797763872154636
ACACÍAS,50006,2013,20.0,Meta,79035,25.305244511925096
ACACÍAS,50006,2014,14.0,Meta,80841,17.317945102114024
ACACÍAS,50006,2015,22.0,Meta,82619,26.628257422626756
ACACÍAS,50006,2016,25.0,Meta,84461,29.59946010584767
ACACÍAS,50006,2017,26.0,Meta,86156,30.177816983146847
ACACÍAS,50006,2018,12.0,Meta,88023,13.63280051804642
ACACÍAS,50006,2019,15.0,Meta,90124,16.64373529803382
ACACÍAS,50006,2020,20.0,Meta,91829,21.77961210510841
ACACÍAS,50006,2021,17.0,Meta,92607,18.357143628451414
ACANDÍ,27006,2010,2.0,Chocó,12400,16.129032258064516
ACANDÍ,27006,2011,2.0,Chocó,12586,15.890672175433021
ACANDÍ,27006,2012,6.0,Chocó,12848,46.699875466998755
ACANDÍ,27006,2013,3.0,Chocó,13044,22.999080036798528
ACANDÍ,27006,2014,8.0,Chocó,13261,60.327275469421615
ACANDÍ,27006,2015,6.0,Chocó,13442,44.636214848980806
ACANDÍ,27006,2016,12.0,Chocó,13663,87.82844177706214
ACANDÍ,27006,2017,13.0,Chocó,13840,93.93063583815028
ACANDÍ,27006,2018,12.0,Chocó,13999,85.72040860061432
