municipio,codigo_dane,fecha_año,cantidad
ABEJORRAL,5002,2010,4.0
ABEJORRAL,5002,2011,3.0
ABEJORRAL,5002,2012,8.0
ABEJORRAL,5002,2013,6.0
ABEJORRAL,5002,2014,4.0
ABEJORRAL,5002,2015,5.0
ABEJORRAL,5002,2016,7.0
ABEJORRAL,5002,2017,2.0
ABEJORRAL,5002,2018,5.0
ABEJORRAL,5002,2019,4.0
ABEJORRAL,5002,2020,5.0
ABEJORRAL,5002,2021,2.0
ABREGO,54003,2010,8.0
ABREGO,54003,2011,3.0
ABREGO,54003,2012,6.0
ABREGO,54003,2013,13.0
ABREGO,54003,2014,6.0
ABREGO,54003,2015,2.0
ABREGO,54003,2016,11.0
ABREGO,54003,2017,4.0
ABREGO,54003,2018,9.0
ABREGO,54003,2019,16.0
ABREGO,54003,2020,14.0
ABREGO,54003,2021,18.0
ABRIAQUÍ,5004,2017,1.0
ACACÍAS,50006,2010,30.0
ACACÍAS,50006,2011,31.0
ACACÍAS,50006,2012,23.0
ACACÍAS,50006,2013,20.0
ACACÍAS,50006,2014,14.0
ACACÍAS,50006,2015,22.0
ACACÍAS,50006,2016,25.0
ACACÍAS,50006,2017,26.0
ACACÍAS,50006,2018,12.0
ACACÍAS,50006,2019,15.0
ACACÍAS,50006,2020,20.0
ACACÍAS,50006,2021,17.0
ACANDÍ,27006,2010,2.0
ACANDÍ,27006,2011,2.0
ACANDÍ,27006,2012,6.0
ACANDÍ,27006,2013,3.0
ACANDÍ,27006,2014,8.0
ACANDÍ,27006,2015,6.0
ACANDÍ,27006,2016,12.0
ACANDÍ,27006,2017,13.0
ACANDÍ,27006,2018,12.0
ACANDÍ,27006,2019,5.0
ACANDÍ,27006,2020,6.0
ACANDÍ,27006,2021,6.0
ACEVEDO,41006,2010,12.0
ACEVEDO,41006,2011,6.0
ACEVEDO,41006,2012,14.0
ACEVEDO,41006,2013,14.0
ACEVEDO,41006,2014,11.0
ACEVEDO,41006,2015,12.0
ACEVEDO,41006,2016,16.0
ACEVEDO,41006,2017,13.0
ACEVEDO,41006,2018,8.0
ACEVEDO,41006,2019,17.0
ACEVEDO,41006,2020,19.0
ACEVEDO,41006,2021,12.0
ACHÍ,13006,2010,1.0
ACHÍ,13006,2011,1.0
ACHÍ,13006,2012,3.0
ACHÍ,13006,2013,1.0
ACHÍ,13006,2014,5.0
ACHÍ,13006,2015,2.0
