municipio,codigo_dane,fecha_año,cantidad,dpnom,pob,tasa_secuestro
ABREGO,54003,2010,1.0,Norte de Santander,29921,3.34213428695565
ABREGO,54003,2013,2.0,Norte de Santander,30253,6.610914620037683
ABREGO,54003,2015,2.0,Norte de Santander,30358,6.588049278608604
ABREGO,54003,2017,1.0,Norte de Santander,30923,3.2338388901464925
ABREGO,54003,2018,1.0,Norte de Santander,31786,3.146039136726861
ABREGO,54003,2019,2.0,Norte de Santander,33003,6.060055146501833
ABREGO,54003,2021,2.0,Norte de Santander,34395,5.814798662596307
ACACÍAS,50006,2014,2.0,Meta,80841,2.4739921574448607
ACACÍAS,50006,2017,2.0,Meta,86156,2.3213705371651425
ACACÍAS,50006,2021,1.0,Meta,92607,1.0798319781442007
ACEVEDO,41006,2018,1.0,Huila,24774,4.03648986841043
AGUA DE DIOS,25001,2012,1.0,Cundinamarca,10192,9.811616954474099
AGUACHICA,20011,2010,4.0,Cesar,93430,4.281280102750722
AGUACHICA,20011,2011,1.0,Cesar,95063,1.051933980623376
AGUACHICA,20011,2012,3.0,Cesar,96687,3.102795618852586
AGUACHICA,20011,2014,1.0,Cesar,99950,1.0005002501250626
AGUACHICA,20011,2017,1.0,Cesar,106119,0.9423383183030372
AGUACHICA,20011,2019,1.0,Cesar,114569,0.8728364566331207
AGUACHICA,20011,2021,1.0,Cesar,121140,0.8254911672445104
AGUAZUL,85010,2010,2.0,Casanare,32335,6.185248183083347
AGUAZUL,85010,2011,4.0,Casanare,32901,12.157685176742348
AGUAZUL,85010,2012,4.0,Casanare,33434,11.96386911527188
AGUAZUL,85010,2013,2.0,Casanare,33961,5.889108094579076
AGUAZUL,85010,2015,1.0,Casanare,34991,2.8578777399902835
AGUSTÍN CODAZZI,20013,2016,2.0,Cesar,58086,3.4431704713700375
ALBANIA,18029,2017,1.0,Caquetá,4821,20.742584526031944
ALBANIA,44035,2010,1.0,La Guajira,22725,4.400440044004401
ALBANIA,44035,2014,1.0,La Guajira,25409,3.9356133653429892
ALBANIA,44035,2017,1.0,La Guajira,27799,3.597251699701428
