DPNOM,COD_MUNICIPIO,MPNOM,AÑO,Total
Antioquia,5001,Medellín,2010,2185539
Antioquia,5001,Medellín,2011,2213549
Antioquia,5001,Medellín,2012,2240690
Antioquia,5001,Medellín,2013,2266969
Antioquia,5001,Medellín,2014,2293601
Antioquia,5001,Medellín,2015,2320791
Antioquia,5001,Medellín,2016,2351077
Antioquia,5001,Medellín,2017,2385018
Antioquia,5002,Abejorral,2010,21822
Antioquia,5002,Abejorral,2011,21619
Antioquia,5002,Abejorral,2012,21371
Antioquia,5002,Abejorral,2013,21166
Antioquia,5002,Abejorral,2014,20942
Antioquia,5002,Abejorral,2015,20718
Antioquia,5002,Abejorral,2016,20534
Antioquia,5002,Abejorral,2017,20437
Antioquia,5004,Abriaquí,2010,2655
Antioquia,5004,Abriaquí,2011,2672
Antioquia,5004,Abriaquí,2012,2668
Antioquia,5004,Abriaquí,2013,2692
Antioquia,5004,Abriaquí,2014,2661
Antioquia,5004,Abriaquí,2015,2630
Antioquia,5004,Abriaquí,2016,2629
Antioquia,5004,Abriaquí,2017,2652
Antioquia,5021,Alejandría,2010,4679
Antioquia,5021,Alejandría,2011,4678
Antioquia,5021,Alejandría,2012,4649
Antioquia,5021,Alejandría,2013,4672
Antioquia,5021,Alejandría,2014,4674
Antioquia,5021,Alejandría,2015,4680
Antioquia,5021,Alejandría,2016,4620
Antioquia,5021,Alejandría,2017,4600
Antioquia,5030,Amagá,2010,28132
Antioquia,5030,Amagá,2011,28354
Antioquia,5030,Amagá,2012,28482
Antioquia,5030,Amagá,2013,28780
Antioquia,5030,Amagá,2014,28888
Antioquia,5030,Amagá,2015,29136
Antioquia,5030,Amagá,2016,29394
Antioquia,5030,Amagá,2017,29663
Antioquia,5031,Amalfi,2010,23986
Antioquia,5031,Amalfi,2011,24156
Antioquia,5031,Amalfi,2012,24332
Antioquia,5031,Amalfi,2013,24548
Antioquia,5031,Amalfi,2014,24753
Antioquia,5031,Amalfi,2015,24951
Antioquia,5031,Amalfi,2016,25194
Antioquia,5031,Amalfi,2017,25518
Antioquia,5034,Andes,2010,42152
Antioquia,5034,Andes,2011,42173
Antioquia,5034,Andes,2012,42257
Antioquia,5034,Andes,2013,42284
Antioquia,5034,Andes,2014,42393
Antioquia,5034,Andes,2015,42505
Antioquia,5034,Andes,2016,42683
Antioquia,5034,Andes,2017,42817
Antioquia,5036,Angelópolis,2010,5795
Antioquia,5036,Angelópolis,2011,5801
Antioquia,5036,Angelópolis,2012,5784
Antioquia,5036,Angelópolis,2013,5773
Antioquia,5036,Angelópolis,2014,5785
Antioquia,5036,Angelópolis,2015,5796
Antioquia,5036,Angelópolis,2016,5781
Antioquia,5036,Angelópolis,2017,5745
Antioquia,5038,Angostura,2010,11853
Antioquia,5038,Angostura,2011,11788
Antioquia,5038,Angostura,2012,11694
Antioquia,5038,Angostura,2013,11661
Antioquia,5038,Angostura,2014,11586
Antioquia,5038,Angostura,2015,11538
Antioquia,5038,Angostura,2016,11486
Antioquia,5038,Angostura,2017,11396
Antioquia,5040,Anorí,2010,16733
Antioquia,5040,Anorí,2011,16908
Antioquia,5040,Anorí,2012,17072
Antioquia,5040,Anorí,2013,17264
Antioquia,5040,Anorí,2014,17383
Antioquia,5040,Anorí,2015,17534
Antioquia,5040,Anorí,2016,17723
Antioquia,5040,Anorí,2017,17991
Antioquia,5042,Santafé de Antioquia,2010,24381
Antioquia,5042,Santafé de Antioquia,2011,24522
Antioquia,5042,Santafé de Antioquia,2012,24698
Antioquia,5042,Santafé de Antioquia,2013,24878
Antioquia,5042,Santafé de Antioquia,2014,25075
Antioquia,5042,Santafé de Antioquia,2015,25252
Antioquia,5042,Santafé de Antioquia,2016,25462
Antioquia,5042,Santafé de Antioquia,2017,25808
Antioquia,5044,Anzá,2010,6812
Antioquia,5044,Anzá,2011,6855
Antioquia,5044,Anzá,2012,6880
Antioquia,5044,Anzá,2013,6894
Antioquia,5044,Anzá,2014,6905
Antioquia,5044,Anzá,2015,6976
Antioquia,5044,Anzá,2016,6961
Antioquia,5044,Anzá,2017,6970
Antioquia,5045,Apartadó,2010,102469
Antioquia,5045,Apartadó,2011,104703
Antioquia,5045,Apartadó,2012,106833
Antioquia,5045,Apartadó,2013,108910
Antioquia,5045,Apartadó,2014,111088
Antioquia,5045,Apartadó,2015,113243
Antioquia,5045,Apartadó,2016,115555
Antioquia,5045,Apartadó,2017,118064
Antioquia,5051,Arboletes,2010,29052
Antioquia,5051,Arboletes,2011,29059
Antioquia,5051,Arboletes,2012,29049
Antioquia,5051,Arboletes,2013,28949
Antioquia,5051,Arboletes,2014,28913
Antioquia,5051,Arboletes,2015,28917
Antioquia,5051,Arboletes,2016,28981
Antioquia,5051,Arboletes,2017,29045
Antioquia,5055,Argelia,2010,8789
Antioquia,5055,Argelia,2011,8662
Antioquia,5055,Argelia,2012,8504
Antioquia,5055,Argelia,2013,8364
Antioquia,5055,Argelia,2014,8238
Antioquia,5055,Argelia,2015,8098
Antioquia,5055,Argelia,2016,7929
Antioquia,5055,Argelia,2017,7771
Antioquia,5059,Armenia,2010,5652
Antioquia,5059,Armenia,2011,5596
Antioquia,5059,Armenia,2012,5503
Antioquia,5059,Armenia,2013,5461
Antioquia,5059,Armenia,2014,5387
Antioquia,5059,Armenia,2015,5282
Antioquia,5059,Armenia,2016,5212
Antioquia,5059,Armenia,2017,5189
Antioquia,5079,Barbosa,2010,46509
Antioquia,5079,Barbosa,2011,47107
Antioquia,5079,Barbosa,2012,47763
Antioquia,5079,Barbosa,2013,48274
Antioquia,5079,Barbosa,2014,48869
Antioquia,5079,Barbosa,2015,49550
Antioquia,5079,Barbosa,2016,50281
Antioquia,5079,Barbosa,2017,51049
Antioquia,5086,Belmira,2010,5850
Antioquia,5086,Belmira,2011,5896
Antioquia,5086,Belmira,2012,5904
Antioquia,5086,Belmira,2013,5894
Antioquia,5086,Belmira,2014,5925
Antioquia,5086,Belmira,2015,5946
Antioquia,5086,Belmira,2016,5938
Antioquia,5086,Belmira,2017,5952
Antioquia,5088,Bello,2010,445349
Antioquia,5088,Bello,2011,454478
Antioquia,5088,Bello,2012,463443
Antioquia,5088,Bello,2013,472177
Antioquia,5088,Bello,2014,481036
Antioquia,5088,Bello,2015,490014
Antioquia,5088,Bello,2016,499621
Antioquia,5088,Bello,2017,510031
Antioquia,5091,Betania,2010,10993
Antioquia,5091,Betania,2011,10902
Antioquia,5091,Betania,2012,10815
Antioquia,5091,Betania,2013,10711
Antioquia,5091,Betania,2014,10632
Antioquia,5091,Betania,2015,10549
