municipio,codigo_dane,fecha_año,cantidad,dpnom,pob,tasa_terrorismo
ABEJORRAL,5002,2014,1.0,Antioquia,20942.0,4.775093114315729
ABREGO,54003,2013,1.0,Norte de Santander,30253.0,3.3054573100188414
ABREGO,54003,2020,3.0,Norte de Santander,33931.0,8.841472399870325
ABREGO,54003,2021,3.0,Norte de Santander,34395.0,8.722197993894461
ABRIAQUÍ,5004,2021,1.0,Antioquia,2777.0,36.010082823190494
ACACÍAS,50006,2011,2.0,Meta,75305.0,2.6558661443463247
ACACÍAS,50006,2013,1.0,Meta,79035.0,1.265262225596255
ACACÍAS,50006,2014,1.0,Meta,80841.0,1.2369960787224303
ACACÍAS,50006,2020,1.0,Meta,91829.0,1.0889806052554203
ACACÍAS,50006,2021,1.0,Meta,92607.0,1.0798319781442007
ACANDÍ,27006,2020,2.0,Chocó,14159.0,14.125291334133767
ACANDÍ,27006,2022,1.0,,,
AGRADO,41013,2014,1.0,Huila,8486.0,11.784115012962527
AGUACHICA,20011,2013,1.0,Cesar,98333.0,1.0169525998393214
AGUACHICA,20011,2016,1.0,Cesar,103714.0,0.9641899839944463
AGUACHICA,20011,2018,2.0,Cesar,109621.0,1.8244679395371324
AGUACHICA,20011,2022,2.0,,,
AGUAZUL,85010,2011,1.0,Casanare,32901.0,3.039421294185587
AGUAZUL,85010,2013,1.0,Casanare,33961.0,2.944554047289538
AGUAZUL,85010,2014,1.0,Casanare,34482.0,2.900063801403631
AGUAZUL,85010,2015,5.0,Casanare,34991.0,14.289388699951415
AGUAZUL,85010,2016,1.0,Casanare,35532.0,2.814364516492176
AGUAZUL,85010,2018,2.0,Casanare,36915.0,5.417851821752675
AGUAZUL,85010,2022,4.0,,,
AIPE,41016,2010,3.0,Huila,14591.0,20.560619560002742
AIPE,41016,2011,2.0,Huila,14775.0,13.536379018612521
AIPE,41016,2014,1.0,Huila,15398.0,6.4943499155734505
ALBANIA,44035,2010,1.0,La Guajira,22725.0,4.400440044004401
ALBANIA,44035,2011,2.0,La Guajira,23388.0,8.551393877201985
ALBANIA,44035,2013,8.0,La Guajira,24733.0,32.3454493995876
ALBANIA,44035,2018,1.0,La Guajira,29148.0,3.430767119527926
ALBANIA,44035,2022,7.0,,,
ALGECIRAS,41020,2010,1.0,Huila,21579.0,4.634135038695028
ALGECIRAS,41020,2011,1.0,Huila,21677.0,4.613184481247405
ALGECIRAS,41020,2014,2.0,Huila,22002.0,9.09008271975275
ALGECIRAS,41020,2015,3.0,Huila,22131.0,13.555645926528397
ALGECIRAS,41020,2018,1.0,Huila,22481.0,4.4482007028157105
ALGECIRAS,41020,2022,2.0,,,
ALPUJARRA,73024,2013,1.0,Tolima,4712.0,21.222410865874362
ALTAMIRA,41026,2014,1.0,Huila,4046.0,24.715768660405335
ALVARADO,73026,2014,1.0,Tolima,8719.0,11.469205184080744
AMAGÁ,5030,2020,1.0,Antioquia,31283.0,3.1966243646709076
AMAGÁ,5030,2021,1.0,Antioquia,31768.0,3.147821707378494
AMALFI,5031,2013,1.0,Antioquia,24548.0,4.073651621313346
ANCUYÁ,52036,2014,1.0,Nariño,9052.0,11.04728236853734
ANDES,5034,2013,1.0,Antioquia,42284.0,2.3649607416516885
ANGOSTURA,5038,2014,2.0,Antioquia,11586.0,17.262213015708614
ANGOSTURA,5038,2016,1.0,Antioquia,11486.0,8.706251088281386
ANGOSTURA,5038,2020,1.0,Antioquia,11536.0,8.668515950069349
ANGOSTURA,5038,2021,1.0,Antioquia,11715.0,8.536064874093043
ANORÍ,5040,2010,2.0,Antioquia,16733.0,11.952429331261579
ANORÍ,5040,2011,3.0,Antioquia,16908.0,17.7430801987225
ANORÍ,5040,2013,12.0,Antioquia,17264.0,69.50880444856348
ANORÍ,5040,2014,11.0,Antioquia,17383.0,63.28021630328482
ANORÍ,5040,2015,3.0,Antioquia,17534.0,17.10961560396943
ANORÍ,5040,2016,1.0,Antioquia,17723.0,5.642385600631947
ANORÍ,5040,2019,6.0,Antioquia,18737.0,32.022202060095
ANORÍ,5040,2020,3.0,Antioquia,19104.0,15.703517587939698
ANORÍ,5040,2021,6.0,Antioquia,19404.0,30.921459492888065
ANORÍ,5040,2022,3.0,,,
APARTADÓ,5045,2010,1.0,Antioquia,102469.0,0.9759049078257814
APARTADÓ,5045,2020,3.0,Antioquia,127744.0,2.348446893787575
APÍA,66045,2013,1.0,Risaralda,12929.0,7.734550235903781
ARAUCA (CT),81001,2010,3.0,Arauca,74997.0,4.0001600064002565
ARAUCA (CT),81001,2011,3.0,Arauca,75564.0,3.9701445132602826
ARAUCA (CT),81001,2013,8.0,Arauca,76798.0,10.416937941092216
